Algorithm,Data Count,Thread Count,Execution Time (s)
Bubble-Sort,1000,1,0.0026504930
Bubble-Sort,1000,1,0.0032697170
Bubble-Sort,1000,1,0.0035335650
Bubble-Sort,1000,1,0.0038109340
Bubble-Sort,1000,1,0.0038913710
Bubble-Sort,1000,1,0.0038686130
Bubble-Sort,1000,1,0.0037189450
Bubble-Sort,1000,1,0.0041175800
Bubble-Sort,1000,1,0.0038124750
Bubble-Sort,1000,1,0.0037322880
Bubble-Sort,1000,1,0.0037433220
Bubble-Sort,1000,1,0.0034505710
Bubble-Sort,1000,1,0.0029684770
Bubble-Sort,1000,1,0.0026823210
Bubble-Sort,1000,1,0.0024655140
Bubble-Sort,1000,1,0.0022110610
Bubble-Sort,1000,1,0.0021675060
Bubble-Sort,1000,1,0.0021298710
Bubble-Sort,1000,1,0.0021393980
Bubble-Sort,1000,1,0.0021729980
Bubble-Sort,1000,1,0.0021572180
Bubble-Sort,1000,1,0.0021591760
Bubble-Sort,1000,1,0.0022183690
Bubble-Sort,1000,1,0.0022158720
Bubble-Sort,1000,1,0.0022490480
Bubble-Sort,1000,1,0.0021972730
Bubble-Sort,1000,1,0.0021220160
Bubble-Sort,1000,1,0.0021344940
Bubble-Sort,1000,1,0.0023756390
Bubble-Sort,1000,1,0.0021467530
Bubble-Sort,1000,1,0.0021318100
Bubble-Sort,1000,1,0.0021411080
Bubble-Sort,1000,1,0.0021407070
Bubble-Sort,1000,1,0.0021279440
Bubble-Sort,1000,1,0.0021873350
Bubble-Sort,1000,1,0.0021354420
Bubble-Sort,1000,1,0.0021213820
Bubble-Sort,1000,1,0.0022757280
Bubble-Sort,1000,1,0.0022755250
Bubble-Sort,1000,1,0.0022191440
Bubble-Sort,1000,1,0.0021439870
Bubble-Sort,1000,1,0.0022968880
Bubble-Sort,1000,1,0.0022111230
Bubble-Sort,1000,1,0.0021217210
Bubble-Sort,1000,1,0.0021231290
Bubble-Sort,1000,1,0.0023461430
Bubble-Sort,1000,1,0.0028173170
Bubble-Sort,1000,1,0.0021195460
Bubble-Sort,1000,1,0.0021188240
Bubble-Sort,1000,1,0.0022454190
Bubble-Sort,1000,1,0.0023184170
Bubble-Sort,1000,1,0.0021223950
Bubble-Sort,1000,1,0.0022270360
Bubble-Sort,1000,1,0.0021288460
Bubble-Sort,1000,1,0.0023262270
Bubble-Sort,1000,1,0.0022002160
Bubble-Sort,1000,1,0.0022380730
Bubble-Sort,1000,1,0.0021617690
Bubble-Sort,1000,1,0.0022322920
Bubble-Sort,1000,1,0.0023492590
Bubble-Sort,1000,1,0.0021590010
Bubble-Sort,1000,1,0.0021500360
Bubble-Sort,1000,1,0.0021498720
Bubble-Sort,1000,1,0.0022184920
Bubble-Sort,1000,1,0.0021534950
Bubble-Sort,1000,1,0.0021256890
Bubble-Sort,1000,1,0.0021353680
Bubble-Sort,1000,1,0.0022824140
Bubble-Sort,1000,1,0.0021570420
Bubble-Sort,1000,1,0.0021554870
Bubble-Sort,1000,1,0.0021409240
Bubble-Sort,1000,1,0.0023228030
Bubble-Sort,1000,1,0.0022134310
Bubble-Sort,1000,1,0.0021426730
Bubble-Sort,1000,1,0.0021418080
Bubble-Sort,1000,1,0.0022666240
Bubble-Sort,1000,1,0.0030213760
Bubble-Sort,1000,1,0.0021645790
Bubble-Sort,1000,1,0.0022605720
Bubble-Sort,1000,1,0.0023048750
Bubble-Sort,1000,1,0.0023219740
Bubble-Sort,1000,1,0.0021238670
Bubble-Sort,1000,1,0.0021885800
Bubble-Sort,1000,1,0.0021267430
Bubble-Sort,1000,1,0.0021771000
Bubble-Sort,1000,1,0.0021518340
Bubble-Sort,1000,1,0.0021317430
Bubble-Sort,1000,1,0.0021347650
Bubble-Sort,1000,1,0.0022855450
Bubble-Sort,1000,1,0.0021487750
Bubble-Sort,1000,1,0.0022006190
Bubble-Sort,1000,1,0.0021938400
Bubble-Sort,1000,1,0.0029239350
Bubble-Sort,1000,1,0.0021541250
Bubble-Sort,1000,1,0.0021412170
Bubble-Sort,1000,1,0.0021239630
Bubble-Sort,1000,1,0.0025064410
Bubble-Sort,1000,1,0.0021524290
Bubble-Sort,1000,1,0.0021890610
Bubble-Sort,1000,1,0.0021200880
Bubble-Sort,5000,1,0.0627631700
Bubble-Sort,5000,1,0.0618322900
Bubble-Sort,5000,1,0.0614312260
Bubble-Sort,5000,1,0.0639471260
Bubble-Sort,5000,1,0.0609941020
Bubble-Sort,5000,1,0.0612785240
Bubble-Sort,5000,1,0.0609250250
Bubble-Sort,5000,1,0.0607713320
Bubble-Sort,5000,1,0.0609782150
Bubble-Sort,5000,1,0.0611254030
Bubble-Sort,5000,1,0.0606945320
Bubble-Sort,5000,1,0.0610702260
Bubble-Sort,5000,1,0.0608629280
Bubble-Sort,5000,1,0.0609904630
Bubble-Sort,5000,1,0.0609991790
Bubble-Sort,5000,1,0.0608766360
Bubble-Sort,5000,1,0.0609966980
Bubble-Sort,5000,1,0.0613804960
Bubble-Sort,5000,1,0.0607811520
